admin_level,name,name1,name2,name3,x_coord,y_coord,adm4_name,adm4_name1,adm4_name2,adm4_name3,adm4_pcode,adm3_name,adm3_name1,adm3_name2,adm3_name3,adm3_pcode,adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,version,lang,lang1,lang2,lang3,geometry_wkt
0,Tunisie,تونس,,,8.8855815,33.79380644,,,,,,,,,,,,,,,,,,,,,Tunisie,,,,TN,2022-11-15,,v01,fr,ar,,,POINT (8.8855815 33.79380644399998)
1,Centre East,الوسط الشرقي,,,10.63442143,35.28127756,,,,,,,,,,,,,,,,Centre East,الوسط الشرقي,,,TN3,Tunisie,,,,TN,2022-11-15,,v01,fr,ar,,,POINT (10.634421425000028 35.281277554999974)
1,Centre West,الوسط الغربي,,,9.32964394,35.20102963,,,,,,,,,,,,,,,,Centre West,الوسط الغربي,,,TN4,Tunisie,,,,TN,2022-11-15,,v01,fr,ar,,,POINT (9.329643938999993 35.20102963199997)
1,North East,الشمال الشرقي,,,10.36115399,36.67396465,,,,,,,,,,,,,,,,North East,الشمال الشرقي,,,TN1,Tunisie,,,,TN,2022-11-15,,v01,fr,ar,,,POINT (10.361153988000012 36.673964652999985)
1,North West,الشمال الغربي,,,9.04965104,36.31712497,,,,,,,,,,,,,,,,North West,الشمال الغربي,,,TN2,Tunisie,,,,TN,2022-11-15,,v01,fr,ar,,,POINT (9.049651037999979 36.317124965000005)
1,South East,الجنوب الشرقي,,,9.96855556,32.26573441,,,,,,,,,,,,,,,,South East,الجنوب الشرقي,,,TN5,Tunisie,,,,TN,2022-11-15,,v01,fr,ar,,,POINT (9.968555563999985 32.26573441099998)
1,South West,الجنوب الغربي,,,8.52643578,33.65887507,,,,,,,,,,,,,,,,South West,الجنوب الغربي,,,TN6,Tunisie,,,,TN,2022-11-15,,v01,fr,ar,,,POINT (8.526435779999986 33.65887507100001)
2,Tunis,تونس,,,10.21283185,36.81847505,,,,,,,,,,,Tunis,تونس,,,TN11,North East,الشمال الشرقي,,,TN1,Tunisie,,,,TN,2022-11-15,,v01,fr,ar,,,POINT (10.212831844999982 36.81847505000002)
2,Ariana,أريانة,,,10.1219057,36.96825108,,,,,,,,,,,Ariana,أريانة,,,TN12,North East,الشمال الشرقي,,,TN1,Tunisie,,,,TN,2022-11-15,,v01,fr,ar,,,POINT (10.121905701999992 36.968251083999974)
2,Ben Arous,بن عروس,,,10.21086321,36.62956482,,,,,,,,,,,Ben Arous,بن عروس,,,TN13,North East,الشمال الشرقي,,,TN1,Tunisie,,,,TN,2022-11-15,,v01,fr,ar,,,POINT (10.210863210000014 36.629564820999974)
2,Manubah,منوبة,,,9.83035326,36.76581494,,,,,,,,,,,Manubah,منوبة,,,TN14,North East,الشمال الشرقي,,,TN1,Tunisie,,,,TN,2022-11-15,,v01,fr,ar,,,POINT (9.830353257000013 36.765814944)
2,Nabeul,نابل,,,10.67543929,36.69717617,,,,,,,,,,,Nabeul,نابل,,,TN15,North East,الشمال الشرقي,,,TN1,Tunisie,,,,TN,2022-11-15,,v01,fr,ar,,,POINT (10.675439284999982 36.69717616899999)
2,Zaghouan,زغوان,,,10.04690955,36.33172852,,,,,,,,,,,Zaghouan,زغوان,,,TN16,North East,الشمال الشرقي,,,TN1,Tunisie,,,,TN,2022-11-15,,v01,fr,ar,,,POINT (10.046909550999999 36.33172851699999)
2,Bizerte,بنزرت,,,9.6392857,37.03535965,,,,,,,,,,,Bizerte,بنزرت,,,TN17,North East,الشمال الشرقي,,,TN1,Tunisie,,,,TN,2022-11-15,,v01,fr,ar,,,POINT (9.639285701000006 37.03535965200001)
2,Béja,باجة,,,9.20098774,36.7472529,,,,,,,,,,,Béja,باجة,,,TN21,North West,الشمال الغربي,,,TN2,Tunisie,,,,TN,2022-11-15,,v01,fr,ar,,,POINT (9.200987742999985 36.747252903)
2,Jendouba,جندوبة,,,8.75466962,36.68008411,,,,,,,,,,,Jendouba,جندوبة,,,TN22,North West,الشمال الغربي,,,TN2,Tunisie,,,,TN,2022-11-15,,v01,fr,ar,,,POINT (8.75466962500002 36.680084109999996)
