pcode,name_fr,name_ar,governorate,bcc_id,population_2024,managed_load_mw,peak_load_mw
TN1251,Ariana Médina,اريانة المدينة,Ariana,BCC1,124160,20.1,53.6
TN1256,Ettadhamen,حي التضامن,Ariana,BCC1,81181,13.1,35.0
TN1254,Kalaat El Andalous,قلعة الأندلس,Ariana,BCC1,81181,13.1,35.0
TN1257,Mnihla,المنيهلة,Ariana,BCC1,81181,13.1,35.0
TN1253,Raoued,روّاد,Ariana,BCC1,81181,13.1,35.0
TN1255,Sidi Thabet,سيدي ثابت,Ariana,BCC1,81181,13.1,35.0
TN1252,Soukra,سكرة,Ariana,BCC1,81181,13.1,35.0
TN1351,Ben Arous,بن عروس,Ben Arous,BCC1,51200,9.0,24.0
TN1356,Boumhel,بومهل البساتين,Ben Arous,BCC1,51200,9.0,24.0
TN1353,El Mourouj,المروج,Ben Arous,BCC1,51200,9.0,24.0
TN1357,Ezzahra,الزهراء,Ben Arous,BCC1,51200,9.0,24.0
TN1361,Fouchana,فوشانة,Ben Arous,BCC1,51200,9.0,24.0
TN1355,Hammam Chott,حمام الشط,Ben Arous,BCC1,51200,9.0,24.0
TN1354,Hammam Lif,حمام الأنف,Ben Arous,BCC1,51200,9.0,24.0
TN1360,M'Hamdia,المحمدية,Ben Arous,BCC1,51200,9.0,24.0
TN1362,Mornag,مرناق,Ben Arous,BCC1,51200,9.0,24.0
TN1359,Mégrine,مقرين,Ben Arous,BCC1,51200,9.0,24.0
TN1352,Nouvelle Médina,المدينة الجديدة,Ben Arous,BCC1,78306,13.7,36.7
TN1358,Radès,رادس,Ben Arous,BCC1,51200,9.0,24.0
TN1751,Bizerte Nord,بنزرت الشمالية,Bizerte,BCC4,56400,8.7,23.3
TN1753,Bizerte Sud,بنزرت الجنوبية,Bizerte,BCC4,56400,8.7,23.3
TN1763,El Alia,العالية,Bizerte,BCC4,36877,5.7,15.2
TN1761,Ghar El Melh,غار الملح,Bizerte,BCC4,36877,5.7,15.2
TN1757,Ghazala,غزالة,Bizerte,BCC4,36877,5.7,15.2
TN1752,Jarzouna,جرزونة,Bizerte,BCC4,36877,5.7,15.2
TN1755,Joumine,جومين,Bizerte,BCC4,36877,5.7,15.2
TN1756,Mateur,ماطر,Bizerte,BCC4,36877,5.7,15.2
TN1758,Menzel Bourguiba,منزل بورقيبة,Bizerte,BCC4,36877,5.7,15.2
TN1762,Menzel Jemil,منزل جميل,Bizerte,BCC4,36877,5.7,15.2
TN1764,Ras Jebel,راس الجبل,Bizerte,BCC4,36877,5.7,15.2
TN1754,Sejnane,سجنان,Bizerte,BCC4,36877,5.7,15.2
TN1759,Tinja,تينجة,Bizerte,BCC4,36877,5.7,15.2
TN1760,Utique,أوتيك,Bizerte,BCC4,36877,5.7,15.2
TN2153,Amdoun,عمدون,Béja,BCC4,29412,3.5,9.4
